year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,share_hr,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2018,7902,5831,Sherburne,.44056565,.15975338,.037757602,.022566404,172.40482,247.0625,234.49884,11.152226,1.3282478,87,.085702553,69,24,63,85,55,78,69,73,35,62
2012,2272,1740,Sibley,.56758469,.00094020762,,.031430721,109.49267,285.31891,,40.075474,,87,,45,76,,59,,51,58,,29,
2013,2272,1740,Sibley,.59776533,.00073978701,0,.031430721,114.57671,197.81017,210.69884,17.637955,1.7521249,87,0,46,77,70.5,58,70.5,55,64,46,35,54
2014,2272,1740,Sibley,.67258561,.00073978701,6.9399483e-23,.13401107,93.335754,206.60191,218.8692,8.2877283,1.8759252,87,1.0318312e-22,41,78,63,22,63,17,66,58,7,67
2015,2272,1740,Sibley,.65474117,.00083606562,.00015458146,.12317601,93.211403,221.55507,214.50876,8.2760677,1.8302596,87,.00023609553,38,76,60,27,60,20,72,68,10,77
2016,2272,1740,Sibley,.60899115,.0010707132,.022721427,.10258037,95.781837,242.87881,151.82864,9.2264442,1.3739277,87,.037309945,39,75,61,39,60,17,60,23,13,50
2017,2272,1740,Sibley,.57963645,.00073963887,.042266525,.10257532,97.138077,324.29086,132.68814,10.146461,1.1086954,87,.072919026,43,75,59,44,58,27,62,16,16,19
2018,2272,1740,Sibley,.52934223,.001402807,.032435115,.080915757,103.68278,239.10378,146.22818,11.023375,1.1898119,87,.061274376,46,75,67,48,65,30,67,24,34,46
2012,10506,8069,St. Louis,.51201504,.15330134,,.10302103,112.40061,198.86343,,37.008278,,87,,56,21,,20,,57,21,,26,
2013,10506,8069,St. Louis,.55576867,.16239674,.018779395,.10734653,116.35059,156.09444,156.89087,14.278138,1.1805551,87,.033789948,55,18,30,19,29,57,32,21,17,15
2014,10506,8069,St. Louis,.58370894,.18320854,.03285329,.13985509,111.03716,159.6684,172.05882,9.6594658,1.3118304,87,.056283686,54,17,40,18,37,53,28,36,13,26
2015,10506,8069,St. Louis,.54622197,.18547592,.029255705,.1213593,115.22623,163.37286,168.87727,9.6915827,1.2528223,87,.053560104,56,14,46,29,43,57,30,41,15,29
2016,10506,8069,St. Louis,.49646941,.17469582,.055848774,.11009195,129.2386,195.28923,185.44905,14.667164,1.2562608,87,.11249188,63,18,42,36,38,64,34,46,34,35
2017,10506,8069,St. Louis,.4958818,.19130968,.087065391,.12193428,117.07803,221.52841,180.22147,19.940445,1.1918477,87,.17557691,60,20,35,32,27,54,30,48,34,34
2018,10506,8069,St. Louis,.45024425,.17067006,.072300509,.10108998,128.61476,189.13501,158.823,10.069263,1.0400859,87,.16058064,67,23,38,37,29,60,30,39,24,20
2012,2996,2195,Stearns,.63359976,.12199422,,.013201957,126.99316,200.17261,,44.512726,,87,,34,28,,70,,72,24,,32,
2013,2996,2195,Stearns,.6699757,.13918874,.02825213,.02067109,129.22775,182.12192,215.64496,17.873289,1.663493,87,.042168889,33,26,24,64,25,68,55,48,36,49
2014,2996,2195,Stearns,.68429822,.15654433,.04332833,.052410506,128.14671,188.99442,189.02301,11.030889,1.4366536,87,.063317902,40,27,34,66,36,72,57,42,25,43
2015,2996,2195,Stearns,.66010952,.14691903,.073954046,.054963354,126.57681,188.64656,175.33636,11.058666,1.3621963,87,.11203299,37,29,21,61,21,69,56,51,29,43
2016,2996,2195,Stearns,.62371904,.16063812,.093926474,.048273336,139.66721,198.71898,191.42111,13.572351,1.31703,87,.150591,38,22,24,71,29,73,38,48,30,41
2017,2996,2195,Stearns,.59953469,.16938794,.087447129,.058572598,134.87527,211.68971,213.27267,14.486949,1.578061,87,.14585833,37,25,33,68,41,71,23,65,27,68
2018,2996,2195,Stearns,.57553321,.15867329,.082923271,.061136819,149.05156,223.91548,199.24309,10.988242,1.2592973,87,.14408077,35,25,30,64,36,73,61,68,33,56
2012,3960,2862,Steele,.84520322,.20287104,,.056595627,121.67209,193.49365,,17.246883,,87,,9,12,,41,,64,18,,8,
2013,3960,2862,Steele,.845052,.19236887,.080378219,.037713595,125.96048,188.19893,205.39082,11.334142,1.6563755,87,.095116302,13,13,11,53,13,65,58,44,4,48
2014,3960,2862,Steele,.79871124,.17711809,.084183834,.068700984,122.14206,189.91873,201.93398,7.2386589,1.6387875,87,.10539959,21,19,16,58,21,67,58,48,2,57
2015,3960,2862,Steele,.80068856,.18419558,.084321991,.070024379,126.4016,205.43742,211.46382,8.1260433,1.6577566,87,.10531185,12,15,16,56,25,68,67,65,7,74
2016,3960,2862,Steele,.70677334,.16010173,.085321449,.059505481,133.72449,204.16811,215.91516,7.5492816,1.5929641,87,.12071968,22,23,29,61,36,69,45,61,5,64
2017,3960,2862,Steele,.66483688,.1539308,.10619457,.076911107,125.3491,208.77348,192.41121,7.4740701,1.4708886,87,.15973027,25,29,24,58,36,65,21,54,3,63
2018,3960,2862,Steele,.67406386,.176824,.11143129,.079407699,134.07806,218.74568,198.1478,6.9773927,1.3969249,87,.16531266,18,19,17,49,25,68,58,66,3,69
2012,492,328,Stevens,.67876714,.11286046,,.034499526,99.096451,199.71571,,97.625763,,87,,30,33,,56,,26,23,,66,
2013,492,328,Stevens,.80784398,.11286046,0,.034499526,105.89486,146.44109,139.00606,20.591028,1.3101041,87,0,17,36,70.5,54,70.5,32,19,12,50,20
2014,492,328,Stevens,.87153912,.11286046,0,.084141009,101.37463,140.27017,141.44525,18.529232,1.3663479,87,0,15,42,76.5,48,76.5,34,15,16,72,33
2015,492,328,Stevens,.79444999,.08155939,.08155939,.12274286,88.170578,127.57941,127.57941,9.7406654,1.2624282,87,.10266145,14,51,18,28,26,8,7,9,16,32
2016,492,328,Stevens,.7297284,.08136452,.11943185,.15734155,76.026695,224.37596,128.2883,10.028339,1.5212526,87,.16366616,17,51,16,16,27,3,54,5,19,56
2017,492,328,Stevens,.66613781,.094498724,.020990826,.15748902,80.659462,212.82443,107.75696,25.545938,1.0215067,87,.031511236,24,48,68,22,70,6,24,4,44,12
2018,492,328,Stevens,.66501456,.094486147,.046646137,.15748902,81.76149,181.86867,117.95858,9.4982872,1.082719,87,.070143029,20,44,57,16,63,2,25,6,21,28
2012,576,551,Swift,.80686629,.10902555,,.062507272,97.796707,296.3732,,46.795082,,87,,12,36,,38,,24,61,,36,
2013,576,551,Swift,.88753015,.10902555,.10902555,.10515305,93.014717,129.52679,116.48421,23.082876,1.0637608,87,.12284152,9,39,6,20,10,10,11,5,57,8
2014,576,551,Swift,.94808906,.10902555,.10902555,.14457802,89.608765,131.29483,117.43527,22.286108,1.0642651,87,.11499505,8,45,12,15,20,14,8,5,78,6
2015,576,551,Swift,.76841253,.10921621,.10921621,.090506896,91.442871,132.4232,121.68314,35.34531,1.1190341,87,.14213225,20,38,11,44,17,15,9,6,87,14
2016,576,551,Swift,.72398001,.10902555,1.0918731e-23,.16265902,93.236702,215.86952,214.7142,30.225637,1.6342077,87,1.5081537e-23,18,41,80,14,80,12,51,57,66,65
2017,576,551,Swift,.64112854,.10902555,4.7769447e-23,.1297034,91.244133,301.80856,376.47479,95.213951,2.758388,87,7.4508380e-23,29,43,81,30,81,20,57,81,83,80
2018,576,551,Swift,.76339173,.27874792,1.2738520e-22,.11335548,103.46728,154.6149,152.64053,22.593172,1.2583784,87,1.6686741e-22,8,9,81,33,81,28,6,31,78,55
2012,1585,1188,Todd,.35014322,2.7148455e-09,,.10481117,80.050537,414.60165,,33.900795,,87,,82,78,,19,,2,76,,21,
2013,1585,1188,Todd,.36550456,.0017740836,.00014440123,.075145699,90.540031,163.86084,167.38066,15.816973,1.5570679,87,.00039507367,84,76,43,34,42,7,44,27,27,41
2014,1585,1188,Todd,.36502096,.0026611194,.0028055094,.10978419,83.665581,159.04063,163.25497,15.040587,1.5531271,87,.0076858858,87,77,52,36,52,4,26,29,52,52
2015,1585,1188,Todd,.42901075,.044830728,.015266078,.139605,86.079575,155.33586,123.58161,13.978824,1.1097546,87,.035584372,83,66,52,22,50,5,24,7,50,13
2016,1585,1188,Todd,.43985045,.033903532,.063985527,.13359264,103.70325,265.46716,192.0407,20.747599,1.5902957,87,.1454711,76,69,38,27,32,28,67,50,48,63
2017,1585,1188,Todd,.42022854,.040672276,.070367925,.14073361,89.103241,343.87015,195.03531,33.789032,1.7049844,87,.16745156,79,66,45,26,30,16,66,56,53,72
2018,1585,1188,Todd,.40899661,.014914579,.058760159,.11932395,96.523186,189.54628,134.08067,13.920355,1.1258003,87,.14366905,78,72,48,31,37,16,31,16,51,37
2012,467,393,Traverse,.82693708,0,,.21848738,95.107063,549.85657,,193.45331,,87,,10,83.5,,5,,16,80,,79,
2013,467,393,Traverse,1.0455846,0,0,.21848738,104.95422,225.24074,203.87093,56.048618,1.8011022,87,0,3,83.5,70.5,5,70.5,29,74,43,82,56
2014,467,393,Traverse,1.1406966,0,0,.47137251,86.920517,220.54076,207.43077,11.112698,1.9095042,87,0,2,83.5,76.5,3,76.5,7,72,51,26,71
2015,467,393,Traverse,.80948305,0,0,.25288513,87.1576,217.31558,217.31558,11.174042,1.8989724,87,0,10,82.5,79.5,5,79.5,6,70,69,30,80
2016,467,393,Traverse,.80017221,0,,.25288513,85.289383,275.39227,,22.31214,,87,,10,82,,4,,8,69,,52,
2017,467,393,Traverse,.79609215,0,,.25288513,86.200508,395.37631,,29.887316,,87,,8,82,,4,,9,70,,49,
2018,467,393,Traverse,.68383378,0,,.25288513,90.856094,283.63702,,10.816198,,87,,17,82,,3,,7,76,,30,
2012,1216,934,Wabasha,.68091911,.067089073,,.018053589,122.26511,207.29518,,195.81616,,87,,29,56,,68,,65,27,,80,
2013,1216,934,Wabasha,.72149068,.067089073,0,.020059545,127.14149,183.1926,295.22714,34.362766,2.2736001,87,0,28,57,70.5,65,70.5,66,57,79,72,74
2014,1216,934,Wabasha,.72715622,.067089073,1.8151680e-23,.073292233,119.8711,184.06404,293.06885,14.1372,2.2681749,87,2.4962558e-23,34,60,64,54,64,63,52,84,50,81
2015,1216,934,Wabasha,.71226209,.066968851,.038876478,.073292233,118.32243,187.31583,214.24825,14.167905,1.6288073,87,.054581702,32,59,38,52,42,61,53,66,51,72
2016,1216,934,Wabasha,.65242922,.067089073,.055252772,.06840279,127.39902,213.33531,159.60014,23.737514,1.1519599,87,.084687762,35,59,43,57,47,59,50,30,56,21
2017,1216,934,Wabasha,.6444118,.067089073,.05955115,.073292233,125.49811,220.09068,142.58751,28.091026,1.0650412,87,.092411637,28,59,51,61,53,66,27,26,48,17
2018,1216,934,Wabasha,.65721595,.067089073,.067837469,.073292233,129.95041,220.40518,152.4614,14.466019,1.0863098,87,.10321945,23,55,41,53,48,64,59,30,55,29
2012,3300,2408,Wadena,.4198063,.03196834,,.061765525,90.888504,349.96033,,38.560078,,87,,78,67,,39,,9,69,,28,
2013,3300,2408,Wadena,.48825827,.03196834,.023144528,.082698666,93.522537,142.98996,129.45554,16.02726,1.1081318,87,.047402225,67,68,27,30,24,12,17,9,29,11
2014,3300,2408,Wadena,.58463383,.03196834,.023144528,.14035372,91.296669,138.67012,138.90854,10.405155,1.2096285,87,.039588075,53,71,43,17,42,15,13,14,20,19
2015,3300,2408,Wadena,.56757516,.037940886,.023779448,.14141729,92.218155,140.47354,136.0069,10.412481,1.1760075,87,.041896563,48,68,49,20,47,17,14,16,24,21
2016,3300,2408,Wadena,.54978913,.036685038,.02819363,.14933766,103.99835,194.40161,142.0547,21.057711,1.0945045,87,.051280808,49,67,58,20,56,29,33,12,49,12
2017,3300,2408,Wadena,.47132593,.037230976,.041270837,.14066654,89.095436,373.43613,187.63715,34.556927,1.597737,87,.087563261,64,67,60,27,57,15,68,52,55,69
2018,3300,2408,Wadena,.51331896,.074106932,.044691917,.14024945,91.096336,161.94528,135.64516,10.410851,1.1035748,87,.087064616,48,52,60,23,54,8,12,17,25,35
2012,3985,3033,Waseca,.68576509,.078372695,,.01464422,105.5652,138.06436,,23.443615,,87,,27,51,,69,,41,2,,16,
2013,3985,3033,Waseca,.63562316,.078372695,1.1232438e-14,.01464422,109.28194,137.55127,201.08151,13.803317,1.790241,87,1.7671537e-14,41,51,50,68,50,42,16,39,14,55
2014,3985,3033,Waseca,.60064846,.078366227,1.1652436e-14,.054154154,104.3201,145.10188,201.79231,10.965281,1.7935658,87,1.9399760e-14,48,56,61,63,61,43,17,47,23,64
2015,3985,3033,Waseca,.53454578,.078287005,3.1665101e-16,.054154154,105.31824,143.60838,221.78775,10.714271,1.9371649,87,5.9237397e-16,57,52,70,63,70,45,17,71,26,82
2016,3985,3033,Waseca,.49045891,.068582721,3.2448069e-16,.069599658,123.17917,187.68117,319.47153,5.2633495,2.2551205,87,6.6158588e-16,65,58,79,56,79,53,27,78,1,76
2017,3985,3033,Waseca,.46116307,.078275971,4.3550210e-16,.073172621,101.31358,146.40311,313.96188,5.4751196,2.6667902,87,9.4435597e-16,69,53,80,62,80,34,2,79,1,79
2018,3985,3033,Waseca,.46869081,.081658572,1.0363226e-17,.073169135,107.21838,151.22081,187.85844,5.2718973,1.5465113,87,2.2111008e-17,62,50,79,54,79,35,4,62,2,79
2012,3387,2386,Washington,.49137309,.22930366,,.0067928461,195.92058,255.13699,,21.566328,,87,,61,9,,80,,85,52,,13,
2013,3387,2386,Washington,.48320794,.22860368,.12052409,.0067849839,201.51422,261.09006,260.81189,15.658455,1.4403446,87,.24942489,69,10,2,78,3,84,83,67,24,33
2014,3387,2386,Washington,.52967668,.2557188,.10824432,.027405037,199.3515,265.00269,268.54001,10.975113,1.3891385,87,.20435923,67,11,13,79,9,84,86,76,24,37
2015,3387,2386,Washington,.49603677,.24467321,.11088319,.029234508,204.45477,269.53214,274.3764,10.897682,1.4051045,87,.22353825,69,9,10,82,8,84,83,81,28,51
2016,3387,2386,Washington,.50776362,.24740045,.1333774,.05204827,201.32883,281.81934,279.05533,8.1802149,1.3722382,87,.26267618,59,9,14,68,11,82,73,73,8,49
2017,3387,2386,Washington,.52184629,.27163565,.14037649,.054952051,202.81334,280.28033,259.75888,8.2830076,1.2322551,87,.2689997,50,8,17,72,16,83,55,73,7,40
2018,3387,2386,Washington,.50946504,.28432724,.14986511,.035000142,227.90596,299.44012,290.39807,8.1031771,1.2983539,87,.29416171,50,8,8,78,7,83,81,78,10,61
2012,1053,893,Watonwan,.53547859,.16123703,,.024115346,89.321465,99.168297,,92.039299,,87,,49,18,,63,,8,1,,63,
2013,1053,893,Watonwan,.5399363,.16121149,0,.024115346,95.939217,98.738983,203.37808,14.855736,2.0477636,87,0,59,19,70.5,61,70.5,16,2,42,20,65
2014,1053,893,Watonwan,.50340533,.16123703,.01418024,.071194507,81.933899,89.301849,104.85794,6.3102565,1.1118355,87,.028168634,76,26,47,56,46,3,1,1,1,9
2015,1053,893,Watonwan,.469791,.16082586,.070888184,.071194507,77.950073,87.796051,86.979118,6.3102565,.91835856,87,.15089302,76,26,22,55,16,3,1,1,1,1
2016,1053,893,Watonwan,.40427548,.13877028,.092636228,.036955297,94.362999,99.140633,163.72736,6.3973851,1.728865,87,.22914135,84,30,25,78,17,13,2,34,2,68
2017,1053,893,Watonwan,.51333332,.25984621,.18193035,.042833336,103.5613,135.71126,79.649323,10.50689,.85855675,87,.35440978,54,10,6,80,5,39,1,1,17,2
2018,1053,893,Watonwan,.46983656,.18476087,.026322613,.065592907,130.23502,200.3793,102.87645,4.6620965,.77500004,87,.056025039,61,18,68,60,68,65,39,1,1,2
2012,484,311,Wilkin,.68512839,.010490702,,.050127853,108.09785,548.75598,,104.48824,,87,,28,74,,45,,47,79,,68,
2013,484,311,Wilkin,.76761901,.010490702,0,.050127853,107.00098,202.26041,235.54515,19.159521,2.0398962,87,0,21,75,70.5,43,70.5,35,67,54,44,64
2014,484,311,Wilkin,.74194008,.010490702,0,.080181025,101.42692,222.12791,276.72595,40.328144,2.4293509,87,0,29,75,76.5,50,76.5,35,73,80,85,83
2015,484,311,Wilkin,.7780776,.010509048,0,.13915497,97.376488,193.07292,185.64383,12.859221,1.577551,87,0,18,73,79.5,23,79.5,27,59,57,41,68
2016,484,311,Wilkin,.6552943,.0098549016,0,.15536225,102.74842,166.14214,480.13263,30.098751,4.1350126,87,0,34,72,83.5,17,83.5,26,12,80,65,80
2017,484,311,Wilkin,.62903512,.025944974,,.13941382,98.151543,304.55081,,36.212841,,87,,32,71,,28,,30,58,,57,
2018,484,311,Wilkin,.58512533,.027682915,,.12320653,100.31257,214.50546,,15.693519,,87,,33,68,,28,,21,51,,62,
2012,1838,1276,Winona,.75182563,.1771438,,.035441037,116.93875,212.87968,,15.737376,,87,,19,15,,55,,62,31,,5,
2013,1838,1276,Winona,.76650375,.1771438,.060872663,.03810728,119.39258,170.88806,190.00322,13.05043,1.5572046,87,.079415999,22,15,13,52,15,61,51,33,7,42
2014,1838,1276,Winona,.81502283,.20596308,.060872663,.054779522,118.69258,176.39059,190.45503,11.283827,1.5470804,87,.074688293,20,14,22,62,30,61,47,43,27,51
2015,1838,1276,Winona,.78960478,.20456082,.08398369,.058565818,119.36018,181.21196,170.96408,12.199195,1.3634384,87,.10636168,16,11,17,59,23,62,50,46,37,45
2016,1838,1276,Winona,.73050994,.19075179,.11018937,.063031577,126.86018,188.10033,186.70161,18.471233,1.3930215,87,.15083897,16,15,21,59,28,57,28,47,43,51
2017,1838,1276,Winona,.582376,.19266365,.097234525,.097830214,118.76146,206.55716,163.98735,23.06881,1.215042,87,.16696176,42,19,28,49,31,59,19,34,40,36
2018,1838,1276,Winona,.65933472,.1942416,.059154596,.10140616,127.1073,206.48235,175.05508,12.267516,1.2293408,87,.08971861,21,16,47,35,53,57,44,52,41,50
2012,1509,1060,Wright,.48540682,.10093939,,.019932374,149.47858,212.56725,,16.606665,,87,,63,40,,66,,79,30,,7,
2013,1509,1060,Wright,.50708693,.11068568,.016621038,.018490551,153.23961,211.9782,294.04782,14.207952,1.9250485,87,.032777492,63,38,31,66,30,79,73,77,16,59
2014,1509,1060,Wright,.50641692,.11690513,.033289332,.045046162,150.93974,219.59822,272.83463,11.518312,1.7761396,87,.065735035,74,39,39,68,34,79,71,78,29,63
2015,1509,1060,Wright,.47223222,.10611855,.033494264,.043575507,149.19455,239.16939,243.18457,11.531138,1.6065192,87,.070927531,75,40,41,71,36,79,73,77,31,71
2016,1509,1060,Wright,.45289677,.12501916,.074998811,.043493744,160.4575,243.16383,207.7477,10.904214,1.2585261,87,.16559802,72,35,32,73,26,79,61,55,23,36
2017,1509,1060,Wright,.44360524,.14016351,.068003386,.046852507,157.63339,237.77327,198.03032,11.046815,1.2204212,87,.15329708,75,33,47,78,39,79,38,57,19,37
2018,1509,1060,Wright,.42573223,.14318833,.062336698,.043217186,174.83179,282.98145,213.40257,10.501399,1.1518254,87,.14642231,74,34,45,73,34,79,75,70,26,42
2012,372,277,Yellow Medicine,.78635079,.047539908,,.084276058,94.385895,298.97327,,61.133533,,87,,15,58,,29,,15,63,,46,
2013,372,277,Yellow Medicine,.80811101,.047539908,.046115506,.05146803,102.37508,117.7264,113.97469,22.706915,1.0805748,87,.057065807,16,59,16,41,21,24,6,3,55,9
2014,372,277,Yellow Medicine,.73608017,.069983929,.046894614,.053633749,102.13494,152.80827,117.54642,21.395094,1.0894892,87,.063708566,30,58,32,64,35,38,22,6,77,7
2015,372,277,Yellow Medicine,.75997514,.070247941,.063696802,.083675876,98.073021,146.51588,113.12057,20.887814,1.1095266,87,.083814323,21,56,26,46,31,29,19,3,77,12
2016,372,277,Yellow Medicine,.80205441,.069983929,.11899821,.11612177,105.85654,113.55759,109.48669,22.124352,.90803808,87,.14836676,9,55,17,33,30,30,4,1,51,1
2017,372,277,Yellow Medicine,.64066142,.047999002,.058996513,.12193164,96.357597,368.56519,240.38844,55.640434,2.1954818,87,.092086881,30,63,52,33,54,26,67,68,70,77
2018,372,277,Yellow Medicine,.55818927,.024327518,.08556316,.058931183,112.85929,214.55157,183.92815,21.586199,1.5162944,87,.15328701,38,69,26,66,30,45,52,59,77,78
